Particles,ll,Algorithm
500,891.4523988197983,Bootstrap
1000,890.1894715079846,Bootstrap
1000,898.3523104196652,Bootstrap
1000,895.2282288208266,Bootstrap
1000,895.387908243506,Bootstrap
1000,892.0964495095319,Bootstrap
1000,893.3976507057404,Bootstrap
1000,899.0592191288512,Bootstrap
1000,894.7905849134687,Bootstrap
1000,892.6488181441921,Bootstrap
1000,895.6176769647734,Bootstrap
1000,897.2163637436558,Bootstrap
1000,895.9112716087377,Bootstrap
1000,897.563739369715,Bootstrap
1000,897.9716050608089,Bootstrap
1000,897.9704700083005,Bootstrap
1000,896.9640042557811,Bootstrap
1000,900.0350300295845,Bootstrap
1000,897.933681671666,Bootstrap
1000,894.561040535598,Bootstrap
1000,899.5832358385084,Bootstrap
1000,893.6748509671369,Bootstrap
1000,897.55035349967,Bootstrap
1000,897.8842778239825,Bootstrap
1000,895.9482044419602,Bootstrap
1000,897.765241655964,Bootstrap
1000,903.3333019248257,Bootstrap
1000,896.0516973438904,Bootstrap
1000,899.4500935452238,Bootstrap
1000,902.6280269935384,Bootstrap
1000,895.9606866538367,Bootstrap
1000,898.5253431943845,Bootstrap
1000,896.9176083489137,Bootstrap
1000,897.0483584107553,Bootstrap
1000,896.6830394685629,Bootstrap
1000,898.6909268964516,Bootstrap
1000,897.5794341164776,Bootstrap
1000,895.50046453499,Bootstrap
1000,893.6718600787051,Bootstrap
1000,894.4106483047976,Bootstrap
1000,899.0738449920212,Bootstrap
1000,897.6070560404555,Bootstrap
1000,900.6570122128339,Bootstrap
1000,895.8898544492835,Bootstrap
1000,895.1808214933367,Bootstrap
1000,898.0966412541575,Bootstrap
1000,894.6904758820781,Bootstrap
1000,895.2324638876771,Bootstrap
1000,899.9422088147576,Bootstrap
1000,897.6089515744279,Bootstrap
1000,899.738954597668,Bootstrap
1000,898.2906070598187,Bootstrap
1000,901.7885052022918,Bootstrap
1000,893.2549409737254,Bootstrap
1000,897.9937131825814,Bootstrap
1000,898.0734128593513,Bootstrap
1000,898.2874765509036,Bootstrap
1000,900.4642417274024,Bootstrap
1000,893.1858680257194,Bootstrap
1000,895.1489889253002,Bootstrap
1000,893.3578460602936,Bootstrap
1000,890.3546406055278,Bootstrap
1000,895.8423374689754,Bootstrap
1000,896.8706621401004,Bootstrap
1000,898.4269800667751,Bootstrap
1000,897.7756228763124,Bootstrap
1000,900.5417564050898,Bootstrap
1000,897.2992410105666,Bootstrap
1000,894.7577939293187,Bootstrap
1000,897.0693552276225,Bootstrap
1000,893.9427547535788,Bootstrap
1000,896.3960610254107,Bootstrap
1000,894.4010806712073,Bootstrap
1000,902.9888282825416,Bootstrap
1000,891.737434992091,Bootstrap
1000,897.7836522172548,Bootstrap
